AVG	ENTROPY	FLAG	MEDIAN	MODE	P16	P2P5	P84	P97P5
-0.5951	-5.8616	0	-0.562812	-0.55	-1.34487	-2.20769	0.0761111	0.658696
-0.84053	-6.01597	0	-0.81647	-0.8	-1.68583	-2.56944	-0.0842696	0.5625
0.81192	-4.5003	0	0.783292	0.8	0.508714	0.261429	1.06599	1.33241
0.0498501	-5.40754	0	0.077511	0.0500002	-0.397525	-1.45	0.5	1.03871
-0.7255	-5.87213	0	-0.696666	-0.75	-1.464	-2.33667	-0.0686914	0.561765
-0.10248	-5.0148	0	-0.122157	-0.15	-0.515625	-0.92027	0.262418	0.619697
-0.47949	-6.12387	0	-0.51886	-0.55	-1.37464	-2.24722	0.453677	1.07571
-0.1137	-5.06133	0	-0.13248	-0.0999999	-0.538059	-0.968182	0.260357	0.633334
0.23413	-5.37855	0	0.325417	0.5	-0.256923	-1.37692	0.687632	1.04419
-0.87371	-5.82946	0	-0.802484	-0.75	-1.60694	-2.6	-0.21124	0.284147
-1.05704	-5.96169	0	-1.04613	-1	-1.82917	-2.71818	-0.346078	0.378125
-1.09053	-5.9706	0	-1.04521	-1	-1.90397	-2.79565	-0.366304	0.292
-1.11425	-6.00061	0	-1.09931	-1.1	-1.91774	-2.82812	-0.379798	0.341177
-0.65628	-5.91218	0	-0.5872	-0.3	-1.44063	-2.37381	0.048276	0.565218
-0.79889	-5.92227	0	-0.713433	-0.4	-1.57833	-2.65312	-0.0857797	0.416667
